Deutschlandradio,,http://www.deutschlandradio.de/
Deutschlandfunk (Dlf),"http://st01.dlf.de/dlf/01/128/mp3/stream.mp3,			 http://st01.dlf.de/dlf/01/64/mp3/stream.mp3,			 https://dradio-edge-1097-dus-dtag-cdn.cast.addradio.de/dradio/dlf/live/mp3/128/stream.mp3,			 https://dradio-edge-20af-fra-lg-cdn.cast.addradio.de/dradio/dlf/live/mp3/128/stream.mp3 ,			 http://st01.dlf.de/dlf/01/104/ogg/stream.ogg,			 http://st01.dlf.de/dlf/01/56/ogg/stream.ogg,			 http://st01.dlf.de/dlf/01/33/ogg/stream.ogg,			 http://www.deutschlandradio.de/streaming/dlf.m3u,			 http://www.deutschlandradio.de/streaming/dlf_lq_mp3.m3u,			 http://www.deutschlandradio.de/streaming/dlf_hq_ogg.m3u,			 http://www.deutschlandradio.de/streaming/dlf_mq_ogg.m3u,			 http://www.deutschlandradio.de/streaming/dlf_lq_ogg.m3u",http://www.deutschlandfunk.de/
Deutschlandfunk Kultur (Dlf Kultur),"http://st02.dlf.de/dlf/02/128/mp3/stream.mp3,			 http://st02.dlf.de/dlf/02/64/mp3/stream.mp3,			 https://dradio-edge-109a-fra-dtag-cdn.cast.addradio.de/dradio/kultur/live/mp3/128/stream.mp3,			 https://dradio-edge-1097-dus-dtag-cdn.cast.addradio.de/dradio/kultur/live/mp3/128/stream.mp3,			 http://st02.dlf.de/dlf/02/104/ogg/stream.ogg,			 http://st02.dlf.de/dlf/02/56/ogg/stream.ogg,			 http://st02.dlf.de/dlf/02/33/ogg/stream.ogg ,			 http://www.deutschlandradio.de/streaming/dkultur.m3u,			 http://www.deutschlandradio.de/streaming/dkultur_lq_mp3.m3u,			 http://www.deutschlandradio.de/streaming/dkultur_hq_ogg.m3u,			 http://www.deutschlandradio.de/streaming/dkultur_mq_ogg.m3u,			 http://www.deutschlandradio.de/streaming/dkultur_lq_ogg.m3u",http://www.deutschlandfunkkultur.de/
Deutschlandfunk Nova (Dlf Nova),"http://st03.dlf.de/dlf/03/128/mp3/stream.mp3,			 http://st03.dlf.de/dlf/03/64/mp3/stream.mp3,			 https://dradio-edge-20af-fra-lg-cdn.cast.addradio.de/dradio/nova/live/mp3/128/stream.mp3,			 https://dradio-edge-1099-dus-dtag-cdn.cast.addradio.de/dradio/nova/live/mp3/128/stream.mp3,			 https://dradio-edge-1098-dus-dtag-cdn.cast.addradio.de/dradio/nova/live/mp3/128/stream.mp3 ,			 http://st03.dlf.de/dlf/03/104/ogg/stream.ogg,			 http://st03.dlf.de/dlf/03/33/ogg/stream.ogg",https://www.deutschlandfunknova.de/
BR,"Bayerischer Rundfunk,",http://www.br.de/
Bayern 1 - Mittel-/Oberfranken,"https://br-br1-franken.cast.addradio.de/br/br1/franken/aac/low,			 https://br-br1-franken.cast.addradio.de/br/br1/franken/mp3/low,			 https://br-br1-franken.cast.addradio.de/br/br1/franken/mp3/mid,			 https://streams.br.de/bayern1fran_1.m3u,			 https://streams.br.de/bayern1fran_2.m3u",https://www.br.de/radio/bayern1/index.html
Bayern 1 - Mainfranken,"https://br-br1-mainfranken.cast.addradio.de/br/br1/mainfranken/aac/low,			 https://br-br1-mainfranken.cast.addradio.de/br/br1/mainfranken/mp3/low,			 https://br-br1-mainfranken.cast.addradio.de/br/br1/mainfranken/mp3/mid,			 https://streams.br.de/bayern1main_1.m3u,			 https://streams.br.de/bayern1main_2.m3u",
Bayern 1 - Oberbayern,"https://br-br1-obb.cast.addradio.de/br/br1/obb/aac/low,			 https://br-br1-obb.cast.addradio.de/br/br1/obb/mp3/low,			 https://br-br1-obb.cast.addradio.de/br/br1/obb/mp3/mid,			 https://streams.br.de/bayern1obb_1.m3u,			 https://streams.br.de/bayern1obb_2.m3u",
Bayern 1 - Niederbayern / Oberpfalz,"https://br-br1-nbopf.cast.addradio.de/br/br1/nbopf/aac/low,			 https://br-br1-nbopf.cast.addradio.de/br/br1/nbopf/mp3/low,			 https://br-br1-nbopf.cast.addradio.de/br/br1/nbopf/mp3/mid,			 https://streams.br.de/bayern1nbopf_1.m3u,			 https://streams.br.de/bayern1nbopf_2.m3u",
Bayern 1 - Schwaben,"https://br-br1-schwaben.cast.addradio.de/br/br1/schwaben/aac/low,			 https://br-br1-schwaben.cast.addradio.de/br/br1/schwaben/mp3/low,			 https://br-br1-schwaben.cast.addradio.de/br/br1/schwaben/mp3/mid,			 https://streams.br.de/bayern1schw_1.m3u,			 https://streams.br.de/bayern1schw_2.m3u",
